id,Title,Sales,Platforms,Initial release date,Developer,Publisher
1,Minecraft,200000000,Multi-platform,18-Nov-11,Mojang Studios,Mojang Studios
3,Tetris (EA Mobile),100000000,Mobile,12-Sep-06,EA Mobile,Electronic Arts
4,Wii Sports,82900000,Wii,19-Nov-06,Nintendo EAD,Nintendo
6,Super Mario Bros.,48240000,Multi-platform,13-Sep-85,Nintendo,Nintendo
10,Pac-Man,39098000,Multi-platform,Jul-80,Namco,Namco
11,Mario Kart Wii,37320000,Wii,10-Apr-08,Nintendo EAD,Nintendo
18,The Elder Scrolls V: Skyrim,30000000,Multi-platform,11-Nov-11,Bethesda Game Studios,Bethesda Softworks
19,Diablo III,30000000,Multi-platform,16-May-12,Blizzard Entertainment,Blizzard Entertainment
20,Pokémon Gold / Silver / Crystal,29490000,Game Boy Color,21-Nov-99,Game Freak,Nintendo
21,Duck Hunt,28300000,NES,21-Apr-84,Nintendo R&D1,Nintendo
22,Wii Play,28020000,Wii,2-Dec-06,Nintendo EAD,Nintendo
23,The Witcher 3,28000000,Multi-platform,19-May-15,CD Projekt Red,CD Projekt
24,Grand Theft Auto: San Andreas,27500000,Multi-platform,26-Oct-04,Rockstar North,Rockstar Games
25,Call of Duty: Modern Warfare 3,26500000,Multi-platform,8-Nov-11,Infinity Ward / Sledgehammer,Activision
26,Call of Duty: Black Ops,26200000,Multi-platform,9-Nov-10,Treyarch,Activision
27,Grand Theft Auto IV,25000000,Multi-platform,29-Apr-08,Rockstar North,Rockstar Games
28,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,24950000,Nintendo 3DS,18-Nov-16,Game Freak,Nintendo / The Pokémon Company
29,Pokémon Diamond / Pearl / Platinum,24730000,Nintendo DS,28-Sep-06,Game Freak,Nintendo / The Pokémon Company
30,Call of Duty: Black Ops II,24200000,Multi-platform,12-Nov-12,Treyarch,Activision
31,Kinect Adventures!,24000000,Xbox 360,4-Nov-10,Good Science Studio,Xbox Game Studios
32,FIFA 18,24000000,Multi-platform,29-Sep-17,EA Canada,Electronic Arts
33,Sonic the Hedgehog,23982960,Multi-platform,23-Jun-91,Sonic Team,Sega
34,Nintendogs,23960000,Nintendo DS,21-Apr-05,Nintendo EAD,Nintendo
35,Mario Kart DS,23600000,Nintendo DS,14-Nov-05,Nintendo EAD,Nintendo
36,Call of Duty: Modern Warfare 2,22700000,Multi-platform,10-Nov-09,Infinity Ward,Activision
37,Pokémon Ruby / Sapphire / Emerald,22540000,Game Boy Advance,21-Nov-02,Game Freak,Nintendo / The Pokémon Company
38,Borderlands 2,22000000,Multi-platform,18-Sep-12,Gearbox Software,2K Games
39,Super Mario World,20972500,Multi-platform,21-Nov-90,Nintendo EAD,Nintendo
40,Frogger,20000000,Multi-platform,5-Jun-81,Konami,Sega
41,Lemmings,20000000,Multi-platform,14-Feb-91,DMA Design,Psygnosis
42,Grand Theft Auto: Vice City,20000000,Multi-platform,27-Oct-02,Rockstar North,Rockstar Games
43,The Last of Us,20000000,PS3 / PS4,14-Jun-13,Naughty Dog,Sony Computer Entertainment
44,The Legend of Zelda: Breath of the Wild,19080000,Switch / Wii U,3-Mar-17,Nintendo EPD,Nintendo
45,Brain Age,19010000,Nintendo DS,19-May-05,Nintendo SPD,Nintendo
46,Super Mario Bros. 3,19000000,Multi-platform,23-Oct-88,Nintendo,Nintendo
47,Call of Duty: Ghosts,19000000,Multi-platform,5-Nov-13,Infinity Ward,Activision
48,Super Smash Bros. Ultimate,18840000,Nintendo Switch,7-Dec-18,Bandai Namco Studios / Sora Ltd.,Nintendo
49,Mario Kart 7,18710000,Nintendo 3DS,1-Dec-11,Nintendo EAD,Nintendo
50,Super Mario Land,18370500,Multi-platform,21-Apr-89,Nintendo R&D1,Nintendo
51,Gran Turismo 4,17830000,PS2 / PSP,28-Dec-04,Polyphony Digital,Sony Computer Entertainment
